Tm,Name,City,Color,,,
ARI,Arizona Diamondbacks,Phoenix,#A71930,,,
ATL,Atlanta Braves,Atlanta,#CE1141,,,
BAL,Baltimore Orioles,Baltimore,#DF4601,,,
BOS,Boston Red Sox,Boston,#BD3039,,,
CHC,Chicago Cubs,Chicago,#0E3386,,,
CHW,Chicago White Sox,Chicago,#27251F,,,
CIN,Cincinnati Reds,Cincinnati,#C6011F,,,
CLE,Cleveland Indians,Cleveland,#0C2340,,,
COL,Colorado Rockies,Colorado,#33006F,,,
DET,Detroit Tigers,Detroit,#0C2340,,,
FLA,Miami Marlins,Miami,#00A3E0,,,
HOU,Houston Astros,Houston,#002D62,,,
KCR,Kansas City Royals,Kansas City,#004687,,,
LAA,Los Angeles Angels,Los Angeles,#BA0021,,,
LAD,Los Angeles Dodgers,Los Angeles,#005A9C,,,
MIA,Miami Marlins,Miami,#00A3E0,,,
MIL,Milwaukee Brewers,Milwaukee,#ffc52f,,,
MIN,Minnesota Twins,Minneapolis,#002B5C,,,
MON,Montreal Expos,Montreal,#003087,,,
NYM,New York Mets,Flushing,#002D72,,,
NYY,New York Yankees,Bronx,#0C2340,,,
OAK,Oakland Athletics,Oakland,#003831,,,
PHI,Philadelphia Phillies,Philadelphia,#E81828,,,
PIT,Pittsburgh Pirates,Pittsburgh,#FDB827,,,
SDP,San Diego Padres,San Diego,#2F241D,,,
SEA,Seattle Mariners,Seattle,#005C5C,,,
SFG,San Francisco Giants,San Francisco,#FD5A1E,,,
STL,St. Louis Cardinals,St. Louis,#C41E3A,,,
TBD,Tampa Bay Rays,Tampa Bay,#092C5C,,,
TBR,Tampa Bay Rays,Tampa Bay,#092C5C,,,
TEX,Texas Rangers,Arlington,#003278,,,
TOR,Toronto Blue Jays,Toronto,#134A8E,,,
WSN,Washington Nationals,"Washington, D.C.",#AB0003,,,