Tm,Name,City,,,,
ARI,Arizona Diamondbacks,Phoenix,,,,
ATL,Atlanta Brave,Atlanta,,,,
BAL,Baltimore Orioles,Baltimore,,,,
BOS,Boston Red Sox,Boston,,,,
CHC,Chicago Cubs,Chicago,,,,
CHW,Chicago White Sox,Chicago,,,,
CIN,Cincinnati Reds,Cincinnati,,,,
CLE,Cleveland Indians,Cleveland,,,,
COL,Colorado Rockies,Colorado,,,,
DET,Detroit Tigers,Detroit,,,,
FLA,Florida Marlins,Miami,,,,
HOU,Houston Astros,Houston,,,,
KCR,Kansas City Royals,Kansas City,,,,
LAA,Los Angeles Angels,Los Angeles,,,,
LAD,Los Angeles Dodgers,Los Angeles,,,,
MIA,Miami Marlins,Miami,,,,
MIL,Milwaukee Brewers,Milwaukee,,,,
MIN,Minnesota Twins,Minneapolis,,,,
MON,Montreal Expos,Montreal,,,,
NYM,New York Mets,Flushing,,,,
NYY,New York Yankees,Bronx,,,,
OAK,Oakland Athletics,Oakland,,,,
PHI,Philadelphia Phillies,Philadelphia,,,,
PIT,Pittsburgh Pirates,Pittsburgh,,,,
SDP,San Diego Padres,San Diego,,,,
SEA,Seattle Mariners,Seattle,,,,
SFG,San Francisco Giants,San Francisco,,,,
STL,St. Louis Cardinals,St. Louis,,,,
TBD,Tampa Bay Devil Rays,Tampa Bay,,,,
TBR,Tampa Bay Rays,Tampa Bay,,,,
TEX,Texas Rangers,Arlington,,,,
TOR,Toronto Blue Jays,Toronto,,,,
WSN,Washington Nationals,"Washington, D.C.",,,,